date,scenario_code,scenario_name,signal_name,signal_label,metric_type,ticker,reference_ticker,lookback_days,weight,direction,raw_value,normalized_value,aligned_value,unit_score,contribution
2021-09-15,soft_landing_goldilocks,Soft Landing / Goldilocks,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.15,negative,-0.003813,-2.350344,2.350344,1.0,0.15
2021-09-16,soft_landing_goldilocks,Soft Landing / Goldilocks,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.15,negative,-0.000825,-1.847424,1.847424,0.961856,0.138557
2021-09-19,soft_landing_goldilocks,Soft Landing / Goldilocks,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.15,negative,0.005851,-0.942856,0.942856,0.735714,0.070714
2021-09-20,soft_landing_goldilocks,Soft Landing / Goldilocks,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.15,negative,0.016024,0.353536,-0.353536,0.411616,-0.026515
2021-09-21,soft_landing_goldilocks,Soft Landing / Goldilocks,spy_ret_20d,SPY 20d return,ret_z,SPY,,20,0.3,positive,-0.027368,-4.304842,-4.304842,0.0,-0.3
2021-09-21,soft_landing_goldilocks,Soft Landing / Goldilocks,qqq_ret_20d,QQQ 20d return,ret_z,QQQ,,20,0.25,positive,-0.017882,-2.667646,-2.667646,0.0,-0.25
2021-09-21,soft_landing_goldilocks,Soft Landing / Goldilocks,tlt_ret_20d,TLT 20d return,ret_z,TLT,,20,0.15,positive,0.0042,-0.771208,-0.771208,0.307198,-0.057841
2021-09-21,soft_landing_goldilocks,Soft Landing / Goldilocks,uup_ret_20d,UUP 20d return,ret_z,UUP,,20,0.15,negative,0.001602,-0.479932,0.479932,0.619983,0.035995
2021-09-21,soft_landing_goldilocks,Soft Landing / Goldilocks,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.15,negative,0.016717,0.438444,-0.438444,0.390389,-0.032883
2021-09-22,soft_landing_goldilocks,Soft Landing / Goldilocks,spy_ret_20d,SPY 20d return,ret_z,SPY,,20,0.3,positive,-0.019437,-3.114358,-3.114358,0.0,-0.3
2021-09-22,soft_landing_goldilocks,Soft Landing / Goldilocks,qqq_ret_20d,QQQ 20d return,ret_z,QQQ,,20,0.25,positive,-0.011727,-2.210234,-2.210234,0.0,-0.25
2021-09-22,soft_landing_goldilocks,Soft Landing / Goldilocks,tlt_ret_20d,TLT 20d return,ret_z,TLT,,20,0.15,positive,0.018106,-0.084018,-0.084018,0.478996,-0.006301
2021-09-22,soft_landing_goldilocks,Soft Landing / Goldilocks,uup_ret_20d,UUP 20d return,ret_z,UUP,,20,0.15,negative,0.00521,-0.130063,0.130063,0.532516,0.009755
2021-09-22,soft_landing_goldilocks,Soft Landing / Goldilocks,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.15,negative,0.015215,0.242546,-0.242546,0.439363,-0.018191
2021-09-23,soft_landing_goldilocks,Soft Landing / Goldilocks,spy_ret_20d,SPY 20d return,ret_z,SPY,,20,0.3,positive,-0.009601,-2.152112,-2.152112,0.0,-0.3
2021-09-23,soft_landing_goldilocks,Soft Landing / Goldilocks,qqq_ret_20d,QQQ 20d return,ret_z,QQQ,,20,0.25,positive,-0.003752,-1.743231,-1.743231,0.064192,-0.217904
2021-09-23,soft_landing_goldilocks,Soft Landing / Goldilocks,tlt_ret_20d,TLT 20d return,ret_z,TLT,,20,0.15,positive,0.003436,-0.803603,-0.803603,0.299099,-0.06027
2021-09-23,soft_landing_goldilocks,Soft Landing / Goldilocks,uup_ret_20d,UUP 20d return,ret_z,UUP,,20,0.15,negative,0.002006,-0.437984,0.437984,0.609496,0.032849
2021-09-23,soft_landing_goldilocks,Soft Landing / Goldilocks,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.15,negative,0.004017,-1.200363,1.200363,0.800091,0.090027
2021-09-24,soft_landing_goldilocks,Soft Landing / Goldilocks,spy_ret_20d,SPY 20d return,ret_z,SPY,,20,0.3,positive,-0.002079,-1.525949,-1.525949,0.118513,-0.228892
2021-09-24,soft_landing_goldilocks,Soft Landing / Goldilocks,qqq_ret_20d,QQQ 20d return,ret_z,QQQ,,20,0.25,positive,0.003555,-1.358078,-1.358078,0.160481,-0.16976
2021-09-24,soft_landing_goldilocks,Soft Landing / Goldilocks,tlt_ret_20d,TLT 20d return,ret_z,TLT,,20,0.15,positive,-0.009115,-1.411233,-1.411233,0.147192,-0.105842
2021-09-24,soft_landing_goldilocks,Soft Landing / Goldilocks,uup_ret_20d,UUP 20d return,ret_z,UUP,,20,0.15,negative,0.002,-0.434433,0.434433,0.608608,0.032582
